participant_id,condition,dataset,data_point,truth,response,music_ex,female,distance,distance_absolute
1,vis,tutorial,1,3,4,1,1,,
1,vis,tutorial,2,1,3,1,1,,
1,vis,tutorial,3,4,4.7,1,1,,
1,vis,1,1,5,4,1,1,,
1,vis,1,2,1,1,1,1,,
1,vis,1,3,8,8,1,1,,
1,vis,2,1,23,25,1,1,,
1,vis,2,2,15,20,1,1,,
1,vis,2,3,31,30,1,1,,
1,vis,3,1,16,30,1,1,,
1,vis,3,2,99,50,1,1,,
1,vis,3,3,46,100,1,1,,
2,vis,tutorial,1,3,3,1,1,,
2,vis,tutorial,2,1,1,1,1,,
2,vis,tutorial,3,4,5,1,1,,
2,vis,1,1,5,6,1,1,,
2,vis,1,2,1,4,1,1,,
2,vis,1,3,8,9,1,1,,
2,vis,2,1,23,3,1,1,,
2,vis,2,2,15,45,1,1,,
2,vis,2,3,31,50,1,1,,
2,vis,3,1,16,5,1,1,,
2,vis,3,2,99,20,1,1,,
2,vis,3,3,46,80,1,1,,
3,data,tutorial,1,3,4,1,1,,
3,data,tutorial,2,1,2,1,1,,
3,data,tutorial,3,4,4,1,1,,
3,data,1,1,5,8,1,1,,
3,data,1,2,1,1,1,1,,
3,data,1,3,8,9,1,1,,
3,data,2,1,23,20,1,1,,
3,data,2,2,15,35,1,1,,
3,data,2,3,31,10,1,1,,
3,data,3,1,16,90,1,1,,
3,data,3,2,99,100,1,1,,
3,data,3,3,46,80,1,1,,
4,data,tutorial,1,3,3,0,1,,
4,data,tutorial,2,1,2,0,1,,
4,data,tutorial,3,4,4,0,1,,
4,data,1,1,5,5,0,1,,
4,data,1,2,1,8,0,1,,
4,data,1,3,8,2,0,1,,
4,data,2,1,23,25,0,1,,
4,data,2,2,15,12,0,1,,
4,data,2,3,31,40,0,1,,
4,data,3,1,16,20,0,1,,
4,data,3,2,99,90,0,1,,
4,data,3,3,46,60,0,1,,
5,vis,tutorial,1,3,2,1,0,,
5,vis,tutorial,2,1,1,1,0,,
5,vis,tutorial,3,4,4,1,0,,
5,vis,1,1,5,3,1,0,,
5,vis,1,2,1,1,1,0,,
5,vis,1,3,8,6,1,0,,
5,vis,2,1,23,10,1,0,,
5,vis,2,2,15,30,1,0,,
5,vis,2,3,31,25,1,0,,
5,vis,3,1,16,20,1,0,,
5,vis,3,2,99,95,1,0,,
5,vis,3,3,46,35,1,0,,
6,vis,tutorial,1,3,3,1,0,,
6,vis,tutorial,2,1,1,1,0,,
6,vis,tutorial,3,4,4,1,0,,
6,vis,1,1,5,9,1,0,,
6,vis,1,2,1,3,1,0,,
6,vis,1,3,8,6,1,0,,
6,vis,2,1,23,10,1,0,,
6,vis,2,2,15,20,1,0,,
6,vis,2,3,31,25,1,0,,
6,vis,3,1,16,5,1,0,,
6,vis,3,2,99,50,1,0,,
6,vis,3,3,46,15,1,0,,
7,data,tutorial,1,3,4,1,0,,
7,data,tutorial,2,1,3,1,0,,
7,data,tutorial,3,4,2,1,0,,
7,data,1,1,5,5,1,0,,
7,data,1,2,1,1,1,0,,
7,data,1,3,8,4,1,0,,
7,data,2,1,23,50,1,0,,
7,data,2,2,15,1,1,0,,
7,data,2,3,31,3,1,0,,
7,data,3,1,16,1,1,0,,
7,data,3,2,99,6,1,0,,
7,data,3,3,46,15,1,0,,
8,data,tutorial,1,3,3,0,1,,
8,data,tutorial,2,1,1,0,1,,
8,data,tutorial,3,4,4,0,1,,
8,data,1,1,5,5,0,1,,
8,data,1,2,1,1,0,1,,
8,data,1,3,8,8,0,1,,
8,data,2,1,23,30,0,1,,
8,data,2,2,15,25,0,1,,
8,data,2,3,31,40,0,1,,
8,data,3,1,16,60,0,1,,
8,data,3,2,99,100,0,1,,
8,data,3,3,46,75,0,1,,
9,data,tutorial,1,3,2,1,1,,
9,data,tutorial,2,1,1,1,1,,
9,data,tutorial,3,4,4,1,1,,
9,data,1,1,5,4,1,1,,
9,data,1,2,1,1,1,1,,
9,data,1,3,8,8,1,1,,
9,data,2,1,23,30,1,1,,
9,data,2,2,15,25,1,1,,
9,data,2,3,31,40,1,1,,
9,data,3,1,16,10,1,1,,
9,data,3,2,99,100,1,1,,
9,data,3,3,46,50,1,1,,
10,vis,tutorial,1,3,3,1,0,,
10,vis,tutorial,2,1,1,1,0,,
10,vis,tutorial,3,4,4.5,1,0,,
10,vis,1,1,5,7,1,0,,
10,vis,1,2,1,1,1,0,,
10,vis,1,3,8,5,1,0,,
10,vis,2,1,23,20,1,0,,
10,vis,2,2,15,10,1,0,,
10,vis,2,3,31,40,1,0,,
10,vis,3,1,16,25,1,0,,
10,vis,3,2,99,100,1,0,,
10,vis,3,3,46,50,1,0,,
11,data,tutorial,1,3,3,1,0,,
11,data,tutorial,2,1,1,1,0,,
11,data,tutorial,3,4,4,1,0,,
11,data,1,1,5,6,1,0,,
11,data,1,2,1,1,1,0,,
11,data,1,3,8,9,1,0,,
11,data,2,1,23,30,1,0,,
11,data,2,2,15,20,1,0,,
11,data,2,3,31,45,1,0,,
11,data,3,1,16,20,1,0,,
11,data,3,2,99,92,1,0,,
11,data,3,3,46,79,1,0,,